[INFO ] 2019-09-22T09:42:12,450 [Thread-2] Client - 27 195
[INFO ] 2019-09-22T09:42:12,674 [Thread-2] Client - 27 223
[INFO ] 2019-09-22T09:42:12,893 [Thread-2] Client - 27 219
[INFO ] 2019-09-22T09:42:13,066 [Thread-2] Client - 27 173
[INFO ] 2019-09-22T09:42:13,264 [Thread-2] Client - 27 197
[INFO ] 2019-09-22T09:42:13,457 [Thread-2] Client - 27 193
[INFO ] 2019-09-22T09:42:13,635 [Thread-2] Client - 27 178
[INFO ] 2019-09-22T09:42:13,891 [Thread-2] Client - 27 256
[INFO ] 2019-09-22T09:42:14,072 [Thread-2] Client - 27 181
[INFO ] 2019-09-22T09:42:14,236 [Thread-2] Client - 27 164
[INFO ] 2019-09-22T09:42:14,385 [Thread-2] Client - 27 148
[INFO ] 2019-09-22T09:42:14,679 [Thread-2] Client - 27 293
[INFO ] 2019-09-22T09:42:14,838 [Thread-2] Client - 27 159
[INFO ] 2019-09-22T09:42:15,021 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:42:15,208 [Thread-2] Client - 27 186
[INFO ] 2019-09-22T09:42:15,378 [Thread-2] Client - 27 170
[INFO ] 2019-09-22T09:42:15,540 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:42:15,690 [Thread-2] Client - 27 149
[INFO ] 2019-09-22T09:42:15,929 [Thread-2] Client - 27 238
[INFO ] 2019-09-22T09:42:16,144 [Thread-2] Client - 27 214
[INFO ] 2019-09-22T09:42:16,360 [Thread-2] Client - 27 216
[INFO ] 2019-09-22T09:42:16,601 [Thread-2] Client - 27 241
[INFO ] 2019-09-22T09:42:16,789 [Thread-2] Client - 27 188
[INFO ] 2019-09-22T09:42:16,951 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:42:17,139 [Thread-2] Client - 27 187
[INFO ] 2019-09-22T09:42:17,295 [Thread-2] Client - 27 155
[INFO ] 2019-09-22T09:42:17,445 [Thread-2] Client - 27 149
[INFO ] 2019-09-22T09:42:17,652 [Thread-2] Client - 27 206
[INFO ] 2019-09-22T09:42:17,816 [Thread-2] Client - 27 163
[INFO ] 2019-09-22T09:42:18,005 [Thread-2] Client - 27 188
[INFO ] 2019-09-22T09:42:18,168 [Thread-2] Client - 27 163
[INFO ] 2019-09-22T09:42:18,317 [Thread-2] Client - 27 149
[INFO ] 2019-09-22T09:42:18,476 [Thread-2] Client - 27 158
[INFO ] 2019-09-22T09:42:18,651 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:42:18,824 [Thread-2] Client - 27 172
[INFO ] 2019-09-22T09:42:19,005 [Thread-2] Client - 27 181
[INFO ] 2019-09-22T09:42:19,242 [Thread-2] Client - 27 237
[INFO ] 2019-09-22T09:42:19,480 [Thread-2] Client - 27 237
[INFO ] 2019-09-22T09:42:19,722 [Thread-2] Client - 27 241
[INFO ] 2019-09-22T09:42:19,906 [Thread-2] Client - 27 183
[INFO ] 2019-09-22T09:42:20,081 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:42:20,236 [Thread-2] Client - 27 155
[INFO ] 2019-09-22T09:42:20,396 [Thread-2] Client - 27 160
[INFO ] 2019-09-22T09:42:20,563 [Thread-2] Client - 27 167
[INFO ] 2019-09-22T09:42:20,741 [Thread-2] Client - 27 177
[INFO ] 2019-09-22T09:42:20,905 [Thread-2] Client - 27 164
